name,high_school,position,ht_wt,national_rank,position_rank,state_rank,recruit_score,college,year
T. J. Bannister," Arlington Country Day School (Jacksonville, FL)  ", PG , 5-11 / 160 ,218,41,9,0.8444,virginia,2003
Jamon Gordon," Andrew Jackson (Jacksonville, FL)  ", PG , 6-3 / 180 ,390,78,16,0.8000,virginia-tech,2003
Coleman Collins," Chamblee Charter (Atlanta, GA)  ", PF , 6-9 / 240 ,397,101,12,0.8000,virginia-tech,2003
Zabian Dowdell," Pahokee (Pahokee, FL)  ", PG , 6-2 / 191 ,759,147,29,0.7667,virginia-tech,2003
Chris Paul," Winston-Salem Prep (Winston Salem, NC)    ", PG , 6-1 / 165 ,12,2,1,0.9958,wake-forest,2003
Jeremy Ingram," Kinston (Kinston, NC)  ", PG , 6-3 / 192 ,116,20,9,0.8924,wake-forest,2003
Kyle Visser," Forest Hills Central (Grand Rapids, MI)  ", PF , 6-9 / 225 ,230,54,12,0.8444,wake-forest,2003
Todd Hendley," Lee County (Sanford, NC)  ", C , 6-9 / 205 ,240,34,10,0.8444,wake-forest,2003
Carl Marshall," Crane Technical Prep (Chicago, IL)  ", PG , 5-11 / 165 ,158,31,9,0.8556,baylor,2003
Will Blalock," Catholic Memorial (West Roxbury, MA)  ", PG , 6-2 / 175 ,137,27,5,0.8667,iowa-state,2003
Damion Staple," Southeastern (Augusta, IL)  ", PF , 6-7 / 230 ,155,35,8,0.8556,iowa-state,2003
Curtis Stinson," The Winchendon School (Winchendon, MA)  ", SF , 6-2 / 200 ,254,56,15,0.8444,iowa-state,2003
Reggie George," Notre Dame Preparatory School (Fitchburg, MA)  ", PF , 6-9 / 230 ,257,63,16,0.8444,iowa-state,2003
David Padgett," Reno (Reno, NV)    ", C , 6-10 / 220 ,5,1,1,0.9982,kansas,2003
J.R. Giddens," John Marshall (Oklahoma City, OK)  ", SF , 6-5 / 185 ,21,6,1,0.9924,kansas,2003
Rodrick Stewart," Rainier Beach (Seattle, WA)  ", SG , 6-5 / 215 ,30,6,1,0.9884,kansas,2003
Omar Wilkes," Loyola (Los Angeles, CA)  ", SG , 6-4 / 180 ,55,11,6,0.9773,kansas,2003
Jeremy Case," McAlester (Mcalester, OK)  ", SG , 6-1 / 165 ,315,72,2,0.8111,kansas,2003
Nick Bahe," Lincoln Southeast (Lincoln, NE)  ", SG , 6-3 / 180 ,484,112,4,0.7667,kansas,2003
Cartier Martin," Aldine Nimitz (Houston, TX)  ", SF , 6-7 / 195 ,47,13,6,0.9803,kansas-state,2003
Dramane Diarra," Cloud County C.C. (Concordia, KS)  ", PF , 6-8 / 220 ,26,11,6,0.8556,kansas-state,2003
Justin Williams," Kankakee (Kankakee, IL)  ", PF , 6-9 / 240 ,197,45,11,0.8556,kansas-state,2003
Lance Harris," Hickman (Columbia, MO)  ", SG , 6-4 / 175 ,211,50,5,0.8444,kansas-state,2003
Jeremiah Massey," Oxnard Union (Oxnard, CA)  ", PF , 6-7 / 220 ,271,67,26,0.8333,kansas-state,2003
Tyler Hughes," Wichita North (Wichita, KS)  ", C , 6-11 / 230 ,782,81,6,0.7667,kansas-state,2003
Andrew Lavender," Brookhaven (Columbus, OH)  ", PG , 5-7 / 155 ,26,3,2,0.9900,oklahoma,2003
Brandon Foust," Brookhaven (Columbus, OH)  ", PF , 6-6 / 185 ,73,16,3,0.9673,oklahoma,2003
Longar Longar," Scotland County (Laurinburg, NC)  ", PF , 6-10 / 200 ,80,20,6,0.9651,oklahoma,2003
Lawrence McKenzie," Bais Yaakov (Minneapolis, MN)  ", PG , 6-2 / 175 ,84,15,2,0.9637,oklahoma,2003
Jimmy Tobias," Dillard (Fort Lauderdale, FL)  ", SF , 6-4 / 185 ,135,30,6,0.8869,oklahoma,2003
Jaison Williams," Bishop Ireton (Alexandria, VA)  ", SG , 6-3 / 180 ,248,54,16,0.8444,oklahoma,2003
Marcus Dove," Millikan Senior (Long Beach, CA)  ", SF , 6-8 / 190 ,224,50,18,0.8444,oklahoma-state,2003
Tremaine Fuqua," Skyline (Oakland, CA)  ", C , 6-9 / 240 ,401,50,35,0.8000,oklahoma-state,2003
David Monds," Shores Christian Academy (Ocala, FL)  ", C , 6-8 / 225 ,568,61,21,0.7667,oklahoma-state,2003
Blake Adams," Aldine Nimitz (Houston, TX)  ", SF , 6-6 / 190 ,16,4,3,0.9944,tcu,2003
Oluwafemi Ibikunle," New Hampton School (New Hampton, NH)  ", PF , 6-9 / 245 ,172,39,1,0.8556,tcu,2003
Aaron Curtis," Lon Morris College (Jacksonville, TX)  ", SF , 6-5 / 205 ,25,7,5,0.8556,tcu,2003
Art Pierce," Grace Community (Tyler, TX)  ", C , 6-9 / 205 ,571,62,56,0.7667,tcu,2003
Jessan Gray-Ashley," Central (Davenport, IA)  ", PF , 6-9 / 210 ,795,211,14,0.7667,tcu,2003
Anthony Tucker," William G Enloe (Raleigh, NC)  ", PF , 6-5 / 240 ,77,18,5,0.9657,texas,2003
Edgar Moreno," Lon Morris College (Jacksonville, TX)  ", PG , 6-3 / 195 ,55,9,8,0.8444,texas,2003
Kenny Taylor," Fort Bend Willowridge (Houston, TX)  ", SG , 6-3 / 185 ,690,175,65,0.7667,texas,2003
P.J. Tucker," William G Enloe (Raleigh, NC)    ", SF , 6-6 / 224 ,NA,NA,NA,NA,texas,2003
Rashaun Bryant," Coosa (Rome, GA)  ", C , 6-9 / 250 ,94,17,6,0.9450,texas-tech,2003
Michael Milton," Plano (Plano, TX)  ", SF , 6-6 / 185 ,152,35,13,0.8556,texas-tech,2003
Curtis Marshall," New Mexico Military Institute (Roswell, NM)  ", SF , 6-6 / 175 ,19,5,1,0.8556,texas-tech,2003
Mike Travis," City College of San Francisco (San Francisco, CA)  ", PF , 6-9 / 210 ,24,10,2,0.8556,texas-tech,2003
Joseph Works," Garden City C.C.  (Garden City, KS)  ", PF , 6-6 / 220 ,33,14,8,0.8556,texas-tech,2003
DeVonne Giles," Seward County C.C. (Liberal, KS)  ", PF , 6-8 / 228 ,45,17,11,0.8444,texas-tech,2003
Drew Coffman," Midland (Midland, TX)  ", SG , 6-2 / 195 ,419,91,40,0.7667,texas-tech,2003
Darryl Dora," Gonzales (Gonzales, TX)  ", SF , 6-9 / 230 ,506,101,47,0.7667,texas-tech,2003
Tyler Relph," Mc Quaid Jesuit (Rochester, NY)  ", PG , 6-0 / 165 ,85,16,5,0.9624,west-virginia,2003
Franklin Young," Florida A&M University Developmental Research Scho (Tallahassee, FL)  ", SG , 6-5 / 195 ,234,52,10,0.8444,west-virginia,2003
Brad Byerson," Thomas Dale (Chester, VA)  ", PF , 6-8 / 235 ,265,64,18,0.8444,west-virginia,2003
Jerrah Young," St. Rita (Chicago, IL)  ", PF , 6-7 / 205 ,387,97,21,0.8000,west-virginia,2003
Richard McBride," Lanphier (Springfield, IL)  ", SG , 6-3 / 200 ,31,7,2,0.9880,illinois,2003
Brian Randle," Peoria Notre Dame (Peoria, IL)  ", SF , 6-8 / 192 ,52,14,4,0.9785,illinois,2003
Warren Carter," Lake Highlands (Dallas, TX)  ", PF , 6-9 / 220 ,76,17,7,0.9659,illinois,2003
Patrick Ewing Jr.," National Christian Academy (Fort Washington, MD)  ", PF , 6-8 / 215 ,86,21,4,0.9616,indiana,2003
Mike Henderson," East (Waterloo, IA)  ", PG , 6-3 / 190 ,130,25,1,0.8888,iowa,2003
Erek Hansen," Kirkwood C.C. (Cedar Rapids, IA)  ", PF , 6-10 / 205 ,39,15,3,0.8556,iowa,2003
Nick DeWitz," Mesa C.C. (Mesa, AZ)  ", PF , 6-7 / 215 ,43,16,1,0.8444,iowa,2003
Ben Rand," Rochelle Twp (Rochelle, IL)  ", SF , 6-5 / 180 ,255,57,13,0.8444,iowa,2003
Mike Jones," Thayer Academy (Braintree, MA)  ", SG , 6-5 / 190 ,22,3,1,0.9920,maryland,2003
Ekene Ibekwe," Carson (Carson, CA)  ", PF , 6-9 / 195 ,39,8,3,0.9845,maryland,2003
Hassan Fofana," Hargrave Military Academy (HS) (Chatham, VA)  ", C , 6-9 / 260 ,59,11,3,0.9735,maryland,2003
Will Bowers," Archbishop Spalding (Severn, MD)  ", C , 7-0 / 250 ,69,14,3,0.9693,maryland,2003
D.J. Strawberry," Mater Dei (Santa Ana, CA)  ", SG , 6-5 / 180 ,92,17,9,0.9596,maryland,2003
Shannon Brown," Proviso East (Maywood, IL)  ", SG , 6-4 / 185 ,4,1,1,0.9988,michigan-state,2003
Drew Naymick," North Muskegon (Muskegon, MI)  ", C , 6-10 / 230 ,63,12,4,0.9723,michigan-state,2003
Dion Harris," Old Redford Academy - (Detroit, MI)  ", SG , 6-4 / 200 ,25,4,1,0.9902,michigan,2003
Courtney Sims," Noble And Greenough School (Dedham, MA)  ", C , 6-10 / 222 ,38,7,2,0.9845,michigan,2003
Brenton Petway," Griffin (Griffin, GA)  ", PF , 6-8 / 195 ,61,13,2,0.9725,michigan,2003
J.C. Mathis," John F Kennedy (Bronx, NY)  ", PF , 6-8 / 224 ,427,109,28,0.7667,michigan,2003
Kris Humphries," Hopkins  (Hopkins, MN)  ", PF , 6-8 / 226 ,17,6,1,0.9938,minnesota,2003
Wesley Washington," Mater Dei (Santa Ana, CA)  ", SG , 6-3 / 170 ,95,18,10,0.9414,minnesota,2003
Kerry Wooldridge," San Leandro (San Leandro, CA)  ", SF , 6-7 / 196 ,282,64,28,0.8111,minnesota,2003
Marcus Neal," Polk State College (Lakeland, FL)  ", PG , 6-0 / 175 ,123,25,8,0.7667,nebraska,2003
James Reynolds," Crenshaw (Los Angeles, CA)  ", SG , 6-2 / 190 ,586,147,47,0.7667,nebraska,2003
Andrew Drevo," Nebraska City (Nebraska City, NE)  ", PF , 6-8 / 270 ,691,180,6,0.7667,nebraska,2003
Charles Richardson," Proviso East (Maywood, IL)  ", PG , 5-7 / 160 ,793,154,50,0.7667,nebraska,2003
Shuan Stegall," Redan (Stone Mountain, GA)  ", SF , 6-6 / 205 ,801,151,24,0.7667,nebraska,2003
Vince Scott," Greenway (Phoenix, AZ)  ", C , 6-10 / 220 ,394,48,7,0.8000,northwestern,2003
Ivan Harris," Oak Hill Academy (Mouth Of Wilson, VA)  ", SF , 6-7 / 200 ,44,11,1,0.9823,ohio-state,2003
John Kelly," West Milford (West Milford, NJ)  ", C , 6-11 / 245 ,301,41,17,0.8111,penn-state,2003
Marlon Smith," Archbishop Molloy (Jamaica, NY)  ", PG , 6-0 / 183 ,307,57,24,0.8111,penn-state,2003
Ben Luber," Council Rock North (Newtown, PA)  ", PG , 6-0 / 160 ,788,153,21,0.7667,penn-state,2003
Ije Nwankwo," Detroit Country Day (Franklin, MI)  ", PF , 6-8 / 255 ,386,96,18,0.8000,purdue,2003
Adam Liddell," Dekalb (Waterloo, IN)  ", SF , 6-7 / 205 ,815,155,19,0.7667,purdue,2003
Marquis Webb," Paterson Catholic (Paterson, NJ)  ", SG , 6-3 / 185 ,74,15,7,0.9671,rutgers,2003
Quincy Douby," St. Thomas More (Oakdale, CT)  ", SG , 6-3 / 170 ,96,19,1,0.9398,rutgers,2003
Byron Joynes," Oak Hill Academy (Mouth Of Wilson, VA)  ", C , 6-9 / 300 ,225,31,12,0.8444,rutgers,2003
Brian Butch," West (Appleton, WI)  ", C , 7-0 / 217 ,10,4,1,0.9964,wisconsin,2003
Zach Morley," Indian Hills C.C. (Ottumwa, IA)  ", PF , 6-8 / 210 ,52,19,4,0.8444,wisconsin,2003
Kammron Taylor," North Senior (Minneapolis, MN)  ", PG , 6-2 / 158 ,310,58,7,0.8111,wisconsin,2003
Keith Wooden," Lawrence Free State (Lawrence, KS)  ", PF , 6-8 / 220 ,78,19,1,0.9655,arizona-state,2003
Steve Moore," Santa Ana College (Santa Ana, CA)  ", SG , 6-4 / 203 ,5,2,1,0.8667,arizona-state,2003
Chris Low," Bishop TK Gorman (Tyler, TX)  ", PF , 6-9 / 210 ,266,65,23,0.8444,arizona-state,2003
Tron Smith," Canyon Springs (Moreno Valley, CA)  ", SG , 6-2 / 190 ,269,59,24,0.8444,arizona-state,2003
Wilfried Fameni," Amelia Academy (Amelia Court House, VA)  ", PF , 6-8 / 225 ,391,99,22,0.8000,arizona-state,2003
Mustafa Shakur," Friends Select School (Philadelphia, PA)  ", PG , 6-3 / 175 ,11,1,1,0.9960,arizona,2003
Kirk Walters," South Christian (Grand Rapids, MI)  ", C , 6-10 / 210 ,102,19,5,0.9263,arizona,2003
Chris Dunn," Hobbs (Hobbs, NM)  ", SF , 6-7 / 175 ,154,36,1,0.8556,arizona,2003
Beau Muhlbach," Lufkin (Lufkin, TX)  ", SG , 6-3 / 195 ,569,142,54,0.7667,arizona,2003
Matt Brase," Central Arizona (Coolidge, AZ)  ", SF , 6-6 / 215 ,129,21,7,0.7667,arizona,2003
Ndudi Ebi," Westbury Christian School (Houston, TX)  ", PF , 6-10 / 195 ,3,1,1,0.9990,arizona,2003
Leon Powe," Oakland Technical (Oakland, CA)  ", PF , 6-8 / 230 ,8,3,1,0.9968,california,2003
Marquis Kately," Maine Central Institute (Pittsfield, ME)  ", SF , 6-5 / 200 ,46,12,1,0.9819,california,2003
Ayinde Ubaka," Oakland (Oakland, CA)  ", PG , 6-3 / 188 ,51,8,5,0.9789,california,2003
Dominic McGuire," Lincoln (San Diego, CA)  ", SF , 6-7 / 195 ,79,17,7,0.9651,california,2003
Aaron Brooks," Franklin (Seattle, WA)    ", PG , 6-0 / 160 ,34,4,2,0.9861,oregon,2003
Mitch Platt," Green Valley (Henderson, NV)  ", PF , 6-10 / 260 ,101,26,2,0.9269,oregon,2003
Ray Schafer," Wasilla (Wasilla, AK)  ", C , 6-11 / 215 ,309,42,1,0.8111,oregon,2003
Jordan Oathes," Southridge (Beaverton, OR)  ", SF , 6-4 / 190 ,627,119,8,0.7667,oregon,2003
Kyle Jeffers," Montgomery (Santa Rosa, CA)  ", PF , 6-9 / 200 ,215,50,16,0.8444,oregon-state,2003
Kenny Hooks," Moss Point (Moss Point, MS)  ", SF , 6-7 / 185 ,222,49,3,0.8444,oregon-state,2003
Liam Hughes," Modesto Christian (Modesto, CA)  ", C , 7-2 / 260 ,259,36,23,0.8444,oregon-state,2003
Jim Hanchett," Utah County Academy Of Science (ucas) (Orem, UT)  ", PF , 6-6 / 210 ,560,145,9,0.7667,oregon-state,2003
Angelo Tsagarakis," Casa Grande (Petaluma, CA)  ", PG , 6-3 / 183 ,817,159,61,0.7667,oregon-state,2003
Tim Morris," Whitefield Academy (Mableton, GA)  ", SG , 6-4 / 195 ,58,12,1,0.9749,stanford,2003
Mark Bradford," John C. Fremont Senior (Los Angeles, CA)  ", PG , 6-1 / 185 ,180,34,14,0.8556,stanford,2003
Fred Washington," Bishop Montgomery (Torrance, CA)  ", SF , 6-5 / 190 ,760,144,57,0.7667,stanford,2003
Trevor Ariza," Westchester Senior (Los Angeles, CA)    ", PF , 6-8 / 200 ,20,7,2,0.9930,ucla,2003
Lodrick Stewart," Rainier Beach (Seattle, WA)  ", SG , 6-5 / 215 ,48,10,3,0.9803,usc,2003
Quinton Day," Paseo Acad. Of Performing Arts (Kansas City, MO)  ", PG , 6-1 / 180 ,75,13,1,0.9665,usc,2003
Justin Hawkins," Mayfair (Lakewood, CA)  ", SF , 6-6 / 195 ,119,27,11,0.8916,utah,2003
Stefan Zimmerman," Mountain View (Orem, UT)  ", PF , 6-10 / 220 ,129,33,1,0.8890,utah,2003
Josh Olsen," Alta (Sandy, UT)  ", SG , 6-1 / 175 ,766,190,11,0.7667,utah,2003
Ryan Werch," Ripon (Ripon, WI)  ", SG , 6-2 / 179 ,790,196,3,0.7667,utah,2003
Hakeem Rollins," Mesa C.C. (Mesa, AZ)  ", PF , 6-8 / 235 ,59,22,2,0.8111,washington,2003
Tre Simmons," Seattle Academy (Seattle, WA)    ", SG , 6-5 / 200 ,384,85,8,0.8000,washington,2003
Hans Gasser," Issaquah (Issaquah, WA)  ", C , 6-10 / 230 ,757,80,18,0.7667,washington,2003
Jeff Varem," Vincennes University (Vincennes, IN)  ", SG , 6-5 / 238 ,4,1,1,0.9000,washington-state,2003
Anthony Grant," Franklin (Seattle, WA)  ", SG , 6-4 / 185 ,146,26,5,0.8556,washington-state,2003
Lance Den Boer," Sunnyside (Sunnyside, WA)  ", SF , 6-5 / 205 ,304,67,7,0.8111,washington-state,2003
Aaron Fitzgerald," Rainier Beach (Seattle, WA)  ", SG , 6-2 / 185 ,513,123,10,0.7667,washington-state,2003
T.J. Paterick," Nease (Ponte Vedra Beach, FL)  ", PG , 6-1 / 170 ,682,129,26,0.7667,washington-state,2003
Justin Garcia," San Bernardino Valley College (San Bernardino, CA)  ", C , 7-1 / 250 ,150,14,26,0.7667,washington-state,2003
Jermareo Davidson," Stone Mountain (Stone Mountain, GA)  ", PF , 6-10 / 220 ,67,14,4,0.9705,alabama,2003
Akini Adkins," Tallahassee Leon (Tallahassee, FL)  ", PF , 6-10 / 205 ,71,15,3,0.9687,alabama,2003
Shawn Taylor," Perry (Perry, GA)  ", C , 6-11 / 180 ,110,21,7,0.8952,alabama,2003
Justin Jonus," Boaz Sch (Boaz, AL)  ", SG , 6-7 / 200 ,159,31,3,0.8556,alabama,2003
Olu Famutimi," St. Thomas Aquinas (Toronto, ON)  ", SG , 6-5 / 195 ,19,2,1,0.9932,arkansas,2003
Ronnie Brewer," Fayetteville (Fayetteville, AR)  ", SG , 6-6 / 190 ,32,8,1,0.9869,arkansas,2003
Vincent Hunter," Little Rock Central (Little Rock, AR)  ", C , 6-10 / 193 ,126,22,2,0.8898,arkansas,2003
Anthony Gray," Dumas (Dumas, AR)  ", SF , 6-4 / 228 ,665,126,4,0.7667,arkansas,2003
Dwayne Curtis," Whitney Young (Chicago, IL)  ", PF , 6-8 / 230 ,253,61,12,0.8444,auburn,2003
Ronny LeMelle," Western Oklahoma State College (Altus, OK)  ", SG , 6-5 / 200 ,53,13,3,0.8444,auburn,2003
Quinnel Brown," Wabash Valley College (Mount Carmel, IL)  ", SF , 6-5 / 210 ,58,10,5,0.8222,auburn,2003
Ian Young," Des Moines Christian School (Urbandale, IA)  ", SG , 6-4 / 200 ,798,200,15,0.7667,auburn,2003
Mohamed Abukar," Rancho Bernardo (San Diego, CA)  ", PF , 6-9 / 200 ,41,9,4,0.9829,florida,2003
Chris Richard," Kathleen (Lakeland, FL)  ", PF , 6-8 / 225 ,43,11,1,0.9825,florida,2003
Ryan Appleby," Stanwood (Stanwood, WA)  ", PG , 6-2 / 160 ,105,18,4,0.9042,florida,2003
Lee Humphrey," Maryville (Maryville, TN)  ", SG , 6-3 / 175 ,107,22,1,0.9006,florida,2003
Corey Gibbs," Redan (Stone Mountain, GA)  ", PF , 6-6 / 235 ,88,22,5,0.9610,georgia,2003
Marcus Sikes," Middleburg Academy (Middleburg, VA)  ", SF , 6-6 / 225 ,258,58,17,0.8444,georgia,2003
Steve Newman," First Academy (Orlando, FL)  ", PF , 6-8 / 235 ,774,206,30,0.7667,georgia,2003
Levi Stukes," Randallstown (Randallstown, MD)  ", SG , 6-1 / 180 ,785,194,30,0.7667,georgia,2003
Shagari Alleyne," Rice (New York, NY)  ", C , 7-3 / 255 ,72,15,4,0.9687,kentucky,2003
Sheray Thomas," Riverdale Baptist (Upper Marlboro, MD)  ", PF , 6-8 / 220 ,112,29,6,0.8944,kentucky,2003
Bobby Perry," Hillside (Durham, NC)  ", SF , 6-6 / 215 ,113,23,8,0.8938,kentucky,2003
Lukasz Obrzut," Bridgton Academy (Bridgton, ME)  ", C , 7-1 / 240 ,317,43,5,0.8111,kentucky,2003
Brandon Bass," Capitol Pre-college Academy For Boys (Baton Rouge, LA)  ", PF , 6-8 / 234 ,13,4,1,0.9954,lsu,2003
Regis Koundjia," Scotland County (Laurinburg, NC)  ", SF , 6-8 / 210 ,23,7,2,0.9906,lsu,2003
Tack Minor," Booker T Washington (Dallas, TX)  ", PG , 5-10 / 186 ,35,5,5,0.9859,lsu,2003
Darnell Lazare," Woodlawn (Baton Rouge, LA)  ", PF , 6-8 / 220 ,125,32,3,0.8900,lsu,2003
Ross Neltner," Highlands (Fort Thomas, KY)  ", PF , 6-8 / 220 ,300,73,1,0.8111,lsu,2003
Travis Outlaw," Starkville (Starkville, MS)  ", SF , 6-8 / 190 ,15,3,1,0.9944,mississippi-state,2003
Gary Ervin," Notre Dame Preparatory School (Fitchburg, MA)  ", PG , 6-0 / 173 ,40,6,3,0.9835,mississippi-state,2003
Shane Power," Crown Point (Crown Point, IN)  ", SF , 6-5 / 210 ,108,22,3,0.9000,mississippi-state,2003
Dietric Slater," Wayne County (Waynesboro, MS)  ", SG , 6-3 / 190 ,150,27,2,0.8556,mississippi-state,2003
Billy Begley," Notre Dame Preparatory School (Fitchburg, MA)  ", PG , 6-0 / 175 ,687,131,30,0.7667,mississippi-state,2003
Lawrence Roberts," Houston Christian (Houston, TX)  ", PF , 6-9 / 230 ,730,187,69,0.7667,mississippi-state,2003
Linas Kleiza," Montrose Christian School (Rockville, MD)  ", PF , 6-8 / 245 ,14,5,1,0.9944,missouri,2003
Thomas Gardner," Jefferson (Portland, OR)  ", SG , 6-5 / 200 ,37,9,1,0.9849,missouri,2003
Randy Pulley," Barton C.C. (Great Bend, KS)  ", PG , 6-2 / 210 ,46,8,12,0.8444,missouri,2003
Spencer Laurie," Kickapoo (Springfield, MO)  ", PG , 6-1 / 160 ,264,50,7,0.8444,missouri,2003
Jason Conley," Bethesda-Chevy Chase (Bethesda, MD)  ", SG , 6-5 / 212 ,482,111,16,0.7667,missouri,2003
Tommie Eddie," Coffeyville C.C. (Coffeyville, KS)  ", PF , 6-6 / 250 ,10,4,2,0.8556,ole-miss,2003
Jarvelle Scott," Oak Hill Academy (Mouth Of Wilson, VA)  ", PF , 6-8 / 250 ,232,55,14,0.8444,ole-miss,2003
Byron Burnett," Anniston Sch (Anniston, AL)  ", PF , 6-9 / 250 ,395,100,7,0.8000,ole-miss,2003
Marvin Moore," J.O. Johnson (Huntsville, AL)  ", SF , 6-5 / 215 ,451,92,8,0.7667,ole-miss,2003
Todd Abernethy," Heritage Christian School (Indianapolis, IN)  ", PG , 6-1 / 180 ,783,152,15,0.7667,ole-miss,2003
Renaldo Balkman," IMG Academy (Bradenton, FL)  ", SF , 6-6 / 190 ,83,19,4,0.9637,south-carolina,2003
Brandon Wallace," Silver Bluff (Aiken, SC)  ", PF , 6-9 / 185 ,109,27,2,0.8966,south-carolina,2003
Tre Kelley," Dunbar (Washington, DC)  ", PG , 6-1 / 180 ,138,28,1,0.8667,south-carolina,2003
Josh Gonner," Hutchinson C.C. (Hutchinson, KS)  ", SG , 6-2 / 175 ,28,6,7,0.8556,south-carolina,2003
Paulius Joneliunas," Roanoke Catholic School (Roanoke, VA)  ", C , 6-10 / 258 ,223,30,11,0.8444,south-carolina,2003
Major Wingate," Florence Christian School (Florence, SC)  ", C , 6-9 / 245 ,53,10,1,0.9777,tennessee,2003
Dane Bradshaw," White Station (Memphis, TN)  ", PG , 6-3 / 215 ,124,23,2,0.8902,tennessee,2003
Jordan Howell," Bob Jones  (Madison, AL)  ", PG , 6-3 / 180 ,132,26,2,0.8882,tennessee,2003
